Sequence,Mmenonic ,Job Title,Experience Level,Minimum Educational Degree,Job Role,Work Model,Location,Compensation,Company,Keywords Original,Keywords Processed,Soft Skills,Technical Skills
13,HPC-Linux-SysAdmin-ORNL-Classified,"HPC Linux Systems Engineer, Classified Environment - Oak Ridge National Laboratory",Senior,Bachelor's degree,HPC Systems Engineer,Onsite,North America,$0,Oak Ridge National Laboratory (ORNL),"Linux, HPC clusters, Slurm, PBS, LSF, Lustre, GPFS/Spectrum Scale, Ansible, Puppet, Salt, Python, Bash, Go, InfiniBand, Ethernet, VMware, KVM, Podman, Apptainer, PingFederate, RSA SecureID, Entra ID","Linux, Slurm, PBS, LSF, Lustre, GPFS, Ansible, Puppet, Salt, Python, Bash, Go, InfiniBand, Ethernet, KVM, Podman, Apptainer","Communication, Teamwork, Problem-solving, Adaptability, Customer Focus, Self-motivation","System Administration, Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Networking & Infrastructure, Automation, Security & Compliance, Monitoring & Observability, User Support & Training, Performance Optimization"
11,HPC-Cluster-Scheduler-Consultant,HPC Cluster & Scheduler Management Consultant,Lead,Not mentioned,HPC Solutions Architect,Remote,Global,$0,Not mentioned,"HPC, cluster administration, scheduler management",None,None explicitly mentioned,"Cluster Administration, Project & Team Leadership"
15,HPC-Cloud-Infra-Engineer-Dallas,"HPC, Cloud & Infrastructure Engineering Roles - Dallas, TX",Senior,Not mentioned,HPC Systems Engineer,Remote,North America,$0,Not mentioned,"Kubernetes, Python, Go, Linux (RHEL/Ubuntu), Slurm, LSF, GPU/CPU, AWS, Azure, DevSecOps, CI/CD, Lustre, GPFS, BeeGFS, networking, VPNs, Prometheus, Grafana","Kubernetes, Python, Go, Linux, Slurm, LSF, Lustre, GPFS, BeeGFS, Prometheus, Grafana",None explicitly mentioned,"System Administration, Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Networking & Infrastructure, Containerization & Orchestration, Automation, Cloud Computing, Monitoring & Observability, Security & Compliance, Performance Optimization"
22,Systems-Engineer-Mistral-AI,Systems Engineers / System Administrators - Mistral AI,Senior,Bachelor's degree,HPC Systems Engineer,Hybrid,Global,$0,Mistral AI,"Linux, Slurm, Kubernetes, Ceph, Lustre, NFS, Ethernet, InfiniBand, Python, Bash, Ansible, Terraform, GPU, AI/ML","Linux, Slurm, Kubernetes, Ceph, Lustre, NFS, Ethernet, InfiniBand, Python, Bash, Ansible, Terraform","Communication, Teamwork, Problem-solving, Adaptability","System Administration, Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Networking & Infrastructure, Containerization & Orchestration, Automation, Cloud Computing, Monitoring & Observability, Performance Optimization"
14,Project-Director-HPC-AI-Deployment,Project Director -- HPC / AI Infrastructure Deployment,Lead,Bachelor's degree,HPC Technical Leader,Not mentioned,Not mentioned,$0,Not mentioned,"NVIDIA B200/B300, NVIDIA NVAIE, InfiniBand (IB), UFM (Unified Fabric Manager), BCM (Broadcom), Leaf-Spine, Kubernetes, CUDA, GPU virtualization, liquid cooling, PMP, PRINCE2, CDCP, CDCS, CDCPM, Dell, HPE, Lenovo","InfiniBand, UFM, BCM, Kubernetes, CUDA","Leadership, Stakeholder Management","Cluster Administration, GPU & Accelerated Computing, Networking & Infrastructure, Containerization & Orchestration, Project & Team Leadership, Security & Compliance, Performance Optimization"
24,HPC-Systems-Engineer-3yrs,HPC Systems Engineer,Mid-level,Bachelor's degree,HPC Systems Engineer,Onsite,Asia,$0,Not mentioned,"Linux (RHEL, CentOS), Lustre, GPFS, InfiniBand, Omni-Path, PBSPro, Slurm, networking, storage, monitoring, Python, Bash, cloud (AWS, Azure, GCP)","Linux, Lustre, GPFS, InfiniBand, Omni-Path, PBS, Slurm, Python, Bash","Teamwork, Self-motivation, Communication, Problem-solving","System Administration, Cluster Administration, Storage & Data Management, Networking & Infrastructure, Monitoring & Observability, Cloud Computing, Performance Optimization"
16,HPC-CPP-Developer-Bangalore,HPC / C++ Developer - Bangalore,Mid-level,Not mentioned,HPC Software Engineer,Onsite,Asia,$0,Not mentioned,"C++, HPC, CUDA, MPI, OpenMP, Linux/UNIX, Shell Scripting, Python, Performance Tuning, Benchmarking, Intel Compilers, GNU Compilers, x86_64","C++, CUDA, MPI, OpenMP, Linux, Python",None explicitly mentioned,"GPU & Accelerated Computing, Coding & Software Development, Performance Optimization"
17,Tech-Leader-HPC-Simulation-German,Technical Leader -- HPC & Simulation Environments (German Speaking),Lead,Bachelor's degree,HPC Technical Leader,Onsite,Asia,$0,Not mentioned,"Linux, HPC clusters, Slurm, PBS, LSF, VDI, cloud, automation, AI/ML, data analytics","Linux, Slurm, PBS, LSF","Leadership, Communication, Teamwork, Problem-solving, Mentorship, Stakeholder Management","System Administration, Cluster Administration, Storage & Data Management, Networking & Infrastructure, Automation, Cloud Computing, Project & Team Leadership, Performance Optimization"
25,HPC-Systems-Engineer-HPE-10yrs,HPC Systems Engineer - HPE,Lead,Bachelor's degree,HPC Systems Engineer,Onsite,Not mentioned,$0,HPE,"Linux/Unix (Red Hat, SUSE), Slurm, PBS, LSF, Python, Bash, C/C++, Ansible, Lustre, GPFS, NFS, TCP/IP, DNS, VLANs, Prometheus, Grafana, Nagios, CI/CD, IaC, Docker, Kubernetes, InfiniBand, Slingshot, Ethernet, SQL, Agile/Scrum","Linux, Slurm, PBS, LSF, Python, Bash, C, C++, Ansible, Lustre, GPFS, NFS, Prometheus, Grafana, Nagios, Docker, Kubernetes, InfiniBand, Slingshot, Ethernet","Communication, Teamwork, Adaptability","System Administration, Cluster Administration, Storage & Data Management, Networking & Infrastructure, Containerization & Orchestration, Automation, Monitoring & Observability, Database & Application Management, Project & Team Leadership, Performance Optimization"
26,CAE-HPC-Specialist-OpenPBS,CAE HPC Specialist,Lead,Not mentioned,HPC Systems Engineer,Not mentioned,Not mentioned,$0,Not mentioned,"Linux (Red Hat 8.7), Open PBS, VNC, Ansys Fluent, Maxwell, Altair Hypermesh, OptiStruct, Radioss, FlexNet, LM-X, Bash, Python, Docker, Kubernetes, AI/ML, cloud-based HPC","Linux, PBS, VNC, Ansys Fluent, Maxwell, Altair Hypermesh, OptiStruct, Radioss, FlexNet, LM-X, Bash, Python, Docker, Kubernetes","Communication, Problem-solving, Customer Focus","System Administration, Cluster Administration, Storage & Data Management, Containerization & Orchestration, Automation, Database & Application Management, User Support & Training, Performance Optimization"
21,Senior-Solutions-Architect-NVIDIA-EU,Senior Solutions Architect - NVIDIA (Europe),Senior,Bachelor's degree,HPC Solutions Architect,Not mentioned,Europe,$129,NVIDIA,"CUDA, Slurm, PyTorch, Megatron-LM, NeMo, vLLM, Dynamo, TensorRT-LLM, SGLang, Nsight Systems, Nsight Compute, NCCL, MPI, parallel filesystems, high-speed interconnects, GPU architectures","CUDA, Slurm, PyTorch, Megatron-LM, NeMo, vLLM, Dynamo, TensorRT-LLM, SGLang, Nsight Systems, NCCL, MPI","Communication, Teamwork, Problem-solving, Adaptability, Customer Focus","Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Networking & Infrastructure, Coding & Software Development, Research Computing & Scientific Workflow Support, Monitoring & Observability, Performance Optimization"
18,HPC-AI-Infra-Solution-Architect-India,HPC & AI Infrastructure Solution Architect - India,Lead,Bachelor's degree,HPC Solutions Architect,Onsite,Asia,$0,Not mentioned,"Slurm, PBS Pro, HPCM, NVIDIA Base Command Manager, InfiniBand, Mellanox, High-Speed Ethernet, Docker, Podman, Singularity, Kubernetes, OpenShift, Rancher, Charmed Kubernetes, NVIDIA GPU Operator, DCGM, RHEL, SLES, Ubuntu, KVM, OpenShift Virtualization, Hybrid Cloud, CI/CD, IaC, MLOps, Python, Bash, DNS, TCP/IP, S3, NFS, SMB/CIFS, RHCE, CKA, CKAD, CKS","Slurm, PBS, HPCM, BCM, InfiniBand, Ethernet, Docker, Podman, Apptainer, Kubernetes, OpenShift, Rancher, DCGM, Linux, KVM, OpenShift, Python, Bash, S3, NFS, SMB, CIFS",None explicitly mentioned,"System Administration, Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Networking & Infrastructure, Containerization & Orchestration, Automation, Cloud Computing, Security & Compliance, Performance Optimization"
29,HPC-Engineer-Honeywell-3yrs,HPC Engineer - Honeywell,Mid-level,Bachelor's degree,HPC Systems Engineer,Hybrid,Europe,$0,Honeywell,"Slurm, PBS, Linux/Unix, Python, Bash, Docker, Kubernetes, MPI, OpenMP, HPC architecture, cluster management, networking, storage","Slurm, PBS, Linux, Python, Bash, Docker, Kubernetes, MPI, OpenMP","Communication, Teamwork, Problem-solving, Adaptability","System Administration, Cluster Administration, Storage & Data Management, Networking & Infrastructure, Containerization & Orchestration, Performance Optimization"
23,HPC-Architect-Applied-Materials,HPC Architect - Applied Materials,Lead,Bachelor's degree,HPC Solutions Architect,Onsite,Asia,$0,Applied Materials,"C++, C, Python, NumPy, OpenCV, pandas, GPU/CPU Optimization, Overclocking, Memory Optimization, Load Balancing, Hyperthreading, SMT, Deep learning, Digital Signal Processing (DSP)","C++, C, Python, NumPy, OpenCV, Pandas","Leadership, Teamwork, Mentorship","GPU & Accelerated Computing, Coding & Software Development, Research Computing & Scientific Workflow Support, Database & Application Management, Performance Optimization"
30,HPC-Engineer-Amentum-UK,HPC Engineer - Amentum,Mid-level,Bachelor's degree,HPC Systems Engineer,Onsite,Europe,$0,Amentum,"RHEL Linux, Bash, Python, Slurm, xCAT, Ansible, Git, Linux system administration","Linux, Bash, Python, Slurm, xCAT, Ansible, Git","Communication, Teamwork, Problem-solving, Self-motivation","System Administration, Cluster Administration, Automation"
31,HPC-Engineer-Formula1-CFD,HPC Engineer - Formula 1 Team,Senior,Not mentioned,HPC Systems Engineer,Onsite,Not mentioned,$0,Not mentioned,"Slurm, PBS, LSF, MPI, OpenMP, Python, Bash, Singularity/Apptainer, Docker, GPU-accelerated systems, HPC networking, storage, CFD","Slurm, PBS, LSF, MPI, OpenMP, Python, Bash, Apptainer, Docker","Communication, Teamwork, Problem-solving, Adaptability","System Administration, Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Networking & Infrastructure, Containerization & Orchestration, Research Computing & Scientific Workflow Support, Performance Optimization"
27,Principal-HPC-Architect-KLA,Principal HPC Architect - KLA,Lead,Bachelor's degree,HPC Solutions Architect,Onsite,North America,$224,KLA,"Linux, Slurm, PBS, LSF, MPI, OpenMP, CUDA, Lustre, GPFS, BeeGFS, InfiniBand, RoCE, Python, Go, Bash, Ansible, Terraform, Kubernetes, Singularity/Apptainer, Docker, Prometheus, Grafana, ELK, TCP/IP, DNS, NVIDIA CUDA, MIG, NVLink","Linux, Slurm, PBS, LSF, MPI, OpenMP, CUDA, Lustre, GPFS, BeeGFS, InfiniBand, RoCE, Python, Go, Bash, Ansible, Terraform, Kubernetes, Apptainer, Docker, Prometheus, Grafana, ELK, MIG, NVLink","Leadership, Communication, Teamwork, Problem-solving, Mentorship, Self-motivation","System Administration, Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Networking & Infrastructure, Containerization & Orchestration, Automation, Monitoring & Observability, Project & Team Leadership, Performance Optimization"
28,Senior-HPC-Architect-NVIDIA,Senior HPC Architect - NVIDIA,Senior,Bachelor's degree,HPC Solutions Architect,Onsite,North America,$263,NVIDIA,"C, C++, Python, Bash, parallel filesystems, accelerated computing scheduling, I/O stacks, Deep Learning, container technology, Linux performance tools","C, C++, Python, Bash","Communication, Teamwork, Problem-solving, Adaptability, Self-motivation","System Administration, Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Performance Optimization"
32,HPC-Engineer-Genomics-GBI,HPC Engineer - GBI (Genomics),Senior,Bachelor's degree,HPC Systems Engineer,Hybrid,Europe,$0,GBI,"Slurm, Slinky, Kubernetes/OKE, Open OnDemand, Terraform, Helm, Ansible, Prometheus, Grafana, Lustre, BeeGFS, GPFS, NFS, OCI File Storage, object storage, NVIDIA, CUDA, DCGM, Apptainer/Singularity, Docker/Podman, Pyxis/Enroot, Nextflow, Snakemake, CWL, WDL, OIDC, Okta, OCI, EKS, GKE, AKS","Slurm, Slinky, Kubernetes, OKE, Open OnDemand, Terraform, Helm, Ansible, Prometheus, Grafana, Lustre, BeeGFS, GPFS, NFS, CUDA, DCGM, Apptainer, Docker, Podman, Enroot, Nextflow, Snakemake","Communication, Teamwork, Problem-solving, Adaptability, Customer Focus, Self-motivation","System Administration, Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Networking & Infrastructure, Containerization & Orchestration, Automation, Cloud Computing, Monitoring & Observability, Research Computing & Scientific Workflow Support, User Support & Training, Performance Optimization"
34,Junior-HPC-Engineer-Italy,Junior HPC Engineer - Italy,Entry-level,Not mentioned,HPC Systems Engineer,Onsite,Europe,$0,Not mentioned,"Linux, TCP/IP, Bash, Python, HPC, AI Infrastructure, Slurm, PBS, LSF, NVIDIA CUDA, Azure, AWS, GCP, Docker, Kubernetes, AI/ML","Linux, Bash, Python, Slurm, PBS, LSF, CUDA, Docker, Kubernetes","Communication, Teamwork, Problem-solving, Adaptability","System Administration, Cluster Administration, GPU & Accelerated Computing, Networking & Infrastructure, Containerization & Orchestration, Cloud Computing, Performance Optimization"
36,HPC-GPU-Cluster-Engineer-RDMA,HPC / GPU Cluster Engineer,Senior,Not mentioned,HPC Systems Engineer,Not mentioned,Not mentioned,$0,Not mentioned,"RDMA, libibverbs, InfiniBand, RoCEv2, GPUDirect RDMA, GPUDirect Storage, NCCL, CUDA, OFED, Slurm, Lustre, BeeGFS, WEKA, VAST, DDN/ExaScaler, Python, Bash, C/C++, Linux","RDMA, InfiniBand, RoCE, GPUDirect, RDMA, NCCL, CUDA, OFED, Slurm, Lustre, BeeGFS, Weka, VAST, Python, Bash, C, C++, Linux",None explicitly mentioned,"System Administration, Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Networking & Infrastructure, Performance Optimization"
39,HPC-Platform-Engineer-Lilly,HPC Platform Engineer - Lilly,Senior,Bachelor's degree,HPC Systems Engineer,Onsite,North America,$0,Lilly,"GPU, Altair Grid Engine, Slurm, Kubernetes, Docker, Apptainer, Linux, Github, Chef, Ansible, Terraform, Python, Bash","Grid Engine, Slurm, Kubernetes, Docker, Apptainer, Linux, Chef, Ansible, Terraform, Python, Bash","Communication, Teamwork, Adaptability, Self-motivation","System Administration, Cluster Administration, GPU & Accelerated Computing, Containerization & Orchestration, Automation, Performance Optimization"
40,HPC-Engineer-TENICA-Springfield,High Performance Compute (HPC) Engineer - TENICA,Senior,Not mentioned,HPC Systems Engineer,Onsite,North America,$0,TENICA,"Linux, Docker, Singularity, Kubernetes, Slurm, Mesos, Moab, Jupyter, Keras, TensorFlow, MPI, OpenMP, OpenCL, CUDA, Lustre, Infiniband, AWS, Azure, Google, RHEL, CentOS, ACE cluster","Linux, Docker, Apptainer, Kubernetes, Slurm, Mesos, Moab, Jupyter, Keras, TensorFlow, MPI, OpenMP, OpenCL, CUDA, Lustre, Infiniband",None explicitly mentioned,"System Administration, Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Networking & Infrastructure, Containerization & Orchestration, Cloud Computing, Research Computing & Scientific Workflow Support, Performance Optimization"
42,Senior-AI-HPC-Engineer-NVIDIA,Senior AI/HPC Engineer - NVIDIA,Senior,Bachelor's degree,HPC Systems Engineer,Onsite,Global,$0,NVIDIA,"Linux System Administration, Slurm, LSF, PBS, InfiniBand, Ethernet, GPU, MPI, Ansible, Salt, Puppet","Slurm, LSF, PBS, InfiniBand, Ethernet, MPI, Ansible, Salt, Puppet","Communication, Teamwork, Problem-solving, Self-motivation, Time Management","System Administration, Cluster Administration, GPU & Accelerated Computing, Networking & Infrastructure, Automation, Performance Optimization"
43,Senior-Infra-HPC-Engineer-BCM,Senior Infrastructure HPC Engineer,Lead,Not mentioned,HPC Systems Engineer,Not mentioned,Not mentioned,$0,Not mentioned,"NVIDIA Base Command Manager (BCM), NVIDIA AI Enterprise Suite, NeMo, Triton, RAPIDS, NVIDIA GPU Operator, Network Operator, DCGM, MIG, NVIDIA NIM, NVIDIA Blueprint, Slurm, Kubernetes, kubeadm, RHEL, Canonical Ubuntu, GitLab CI, GitHub Actions, Prometheus, Grafana, RDMA, InfiniBand, RoCE","BCM, NeMo, Triton, RAPIDS, DCGM, MIG, NIM, Slurm, Kubernetes, Linux, Prometheus, Grafana, RDMA, InfiniBand, RoCE",None explicitly mentioned,"System Administration, Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Networking & Infrastructure, Containerization & Orchestration, Automation, Monitoring & Observability, Security & Compliance, Performance Optimization"
35,Senior-HPC-Engineer-ORNL-Classified,Senior HPC Engineer (Classified) - ORNL,Lead,Bachelor's degree,HPC Technical Leader,Onsite,North America,$0,Oak Ridge National Laboratory (ORNL),"Slurm, PBS, Moab, Bash, Python, Ansible, Ganglia, Grafana, MPI, OpenMP, CUDA, InfiniBand, Lustre, GPFS, BeeGFS, Linux (RHEL/CentOS, SUSE, Debian, Ubuntu), Windows, Active Directory, TCP/IP v4/v6, DHCP, DNS, WINS, NOVELL, VPN, Citrix, Terminal Services, Nagios, HP BAC, Precise i3, SGI SMC, HP PCM, Bright Cluster Manager, Puppet, Cobbler, Chef, Red Hat Satellite, Kickstart, Panasas, DDN (GPFS), SGI DMF, StorHouse/RFS, MOAB/MAUI, Torque, Windows HPC Scheduler, Nice DCV, EnginFrame, VNC, OpenText Exceed OnDemand, Docker, Kubernetes, Kubeflow, NVIDIA DGX-1, SQL Server, MySQL, Zope, Infiniband, Mellanox, OFED, Voltaire, Force10, AWS, Terraform, Packer","Slurm, PBS, Moab, Bash, Python, Ansible, Ganglia, Grafana, MPI, OpenMP, CUDA, InfiniBand, Lustre, GPFS, BeeGFS, Linux, Windows Server, Nagios, BCM, Puppet, Cobbler, Chef, Red Hat Satellite, Kickstart, DMF, StorHouse, RFS, Torque, Nice DCV, EnginFrame, VNC, Open OnDemand, Docker, Kubernetes, Kubeflow, SQL Server, MySQL, Zope, InfiniBand, OFED, Voltaire, Force10, Terraform, Packer","Leadership, Communication, Teamwork, Problem-solving, Mentorship","System Administration, Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Networking & Infrastructure, Containerization & Orchestration, Automation, Cloud Computing, Security & Compliance, Monitoring & Observability, Database & Application Management, Project & Team Leadership, Performance Optimization"
51,HPC-Engineer-OPS-Consulting-MD,HPC Engineer - OPS Consulting,Lead,Bachelor's degree,HPC Systems Engineer,Onsite,North America,$0,OPS Consulting,"Systems Engineering, DoDAF, SOA, Configuration Control Board (CCB), Integrated Product Team, WBS, IMP, JCIDS, C&A, DAWIA",None,"Leadership, Communication, Teamwork, Stakeholder Management","Cluster Administration, Security & Compliance, Project & Team Leadership"
52,HPC-Engineer-Dallas-FortWorth,"HPC Engineer - Dallas Forth-Worth, TX",Mid-level,Not mentioned,HPC Systems Engineer,Onsite,North America,$0,Not mentioned,"Kubernetes, Slurm, InfiniBand, Ethernet, Weka, VAST, AWS, Azure, GCP, CKA, RHCSA, ITIL, CompTIA Server+, GPU, Linux","Kubernetes, Slurm, InfiniBand, Ethernet, Weka, VAST, Linux","Communication, Teamwork, Problem-solving, Mentorship, Adaptability","System Administration, Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Networking & Infrastructure, Containerization & Orchestration, Cloud Computing, Automation, Monitoring & Observability, User Support & Training, Performance Optimization"
54,Senior-HPC-Engineer-Baylor-Genomics,Senior HPC Engineer - Baylor Genetics,Lead,Master's degree,HPC Systems Engineer,Onsite,North America,$0,Baylor Genetics,"Slurm, Nextflow, Python, Bash, R, Linux/Unix, Docker, Apptainer (Singularity), CI/CD, Git, Azure, AWS, WGS, WES, RNA-seq","Slurm, Nextflow, Python, Bash, R, Linux, Docker, Apptainer, Git","Leadership, Communication, Teamwork, Mentorship","System Administration, Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Containerization & Orchestration, Automation, Cloud Computing, Research Computing & Scientific Workflow Support, Project & Team Leadership, Performance Optimization"
60,HPC-GPU-Cluster-Engineer-EU-Remote,HPC / GPU Cluster Engineer - European - REMOTE,Senior,Not mentioned,HPC Systems Engineer,Remote,Europe,$0,Not mentioned,"Slurm, Kubernetes, CUDA, NCCL, InfiniBand, Python, Bash, Linux, SRE, AI/ML, GPU cluster engineering","Slurm, Kubernetes, CUDA, NCCL, InfiniBand, Python, Bash, Linux",None explicitly mentioned,"System Administration, Cluster Administration, GPU & Accelerated Computing, Networking & Infrastructure, Containerization & Orchestration, Performance Optimization"
61,Senior-HPC-Platform-Engineer,Senior HPC Platform Engineer,Lead,Bachelor's degree,HPC Systems Engineer,Not mentioned,Not mentioned,$0,Not mentioned,"Linux (RHEL), Slurm, PBS, Kubernetes, Python, Go, Bash, Grafana, Prometheus, Dynatrace, CI/CD, GitHub","Linux, Slurm, PBS, Kubernetes, Python, Go, Bash, Grafana, Prometheus","Communication, Teamwork, Problem-solving, Self-motivation","System Administration, Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Networking & Infrastructure, Containerization & Orchestration, Automation, Monitoring & Observability, Project & Team Leadership, Performance Optimization"
62,HPC-GPU-Infra-Engineer-FirstPrinciples,HPC / GPU Infrastructure Engineer - FirstPrinciples,Senior,Not mentioned,HPC Systems Engineer,Remote,Global,$0,FirstPrinciples,"Kubernetes, Slurm, Linux, GPU, CUDA, AWS, GCP, Azure, Terraform, Ansible, Helm, ArgoCD, RDMA, InfiniBand, Lustre, BeeGFS, Prometheus, Grafana, Loki, OpenTelemetry, Datadog, vLLM, SGLang, TensorRT","Kubernetes, Slurm, Linux, CUDA, Terraform, Ansible, Helm, RDMA, InfiniBand, Lustre, BeeGFS, Prometheus, Grafana, Loki, OpenTelemetry, vLLM, SGLang, TensorRT","Communication, Teamwork, Problem-solving, Adaptability, Self-motivation","System Administration, Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Networking & Infrastructure, Containerization & Orchestration, Automation, Cloud Computing, Monitoring & Observability, Performance Optimization"
